SCORE 190
PADDLE 715.429 560
BALL 182.749 201.057 -240 180
BLOCKS_COUNT 51
0 50 3
80.2 50 3
160.4 50 3
240.6 50 3
320.8 50 3
401 50 3
481.2 50 3
561.4 50 3
641.6 50 3
721.8 50 3
0 77 2
80.2 77 2
160.4 77 2
240.6 77 2
320.8 77 2
401 77 2
481.2 77 2
561.4 77 2
641.6 77 2
721.8 77 2
0 104 2
80.2 104 2
160.4 104 2
240.6 104 2
320.8 104 2
401 104 2
481.2 104 2
561.4 104 2
641.6 104 2
721.8 104 2
0 131 1
80.2 131 1
401 131 1
481.2 131 1
561.4 131 1
641.6 131 1
721.8 131 1
0 158 1
80.2 158 1
481.2 158 1
561.4 158 1
641.6 158 1
721.8 158 1
0 185 1
561.4 185 1
641.6 185 1
721.8 185 1
0 212 1
80.2 212 1
641.6 212 1
721.8 212 1
